doc_id,chunk_id,source,question
vol2_fleet_orchestration_fleet_orchestration,vol2_fleet_orchestration_fleet_orchestration_0023,vol2/fleet_orchestration/fleet_orchestration.qmd,Which approach risks wasted GPU time if the node is truly dead?
vol2_security_privacy_security_privacy,vol2_security_privacy_security_privacy_0012,vol2/security_privacy/security_privacy.qmd,What trade-off does differential privacy introduce in machine learning training according to the passage?
vol2_security_privacy_security_privacy,vol2_security_privacy_security_privacy_0012,vol2/security_privacy/security_privacy.qmd,How does privacy in machine learning differ from confidentiality as described in the passage?
vol1_backmatter_appendix_data,vol1_backmatter_appendix_data_0019,vol1/backmatter/appendix_data.qmd,Which divergence measure mentioned in the passage is asymmetric?
vol1_backmatter_appendix_data,vol1_backmatter_appendix_data_0019,vol1/backmatter/appendix_data.qmd,What metric is described as symmetrizing the asymmetry between the two KL divergences?
vol2_ops_scale_ops_scale,vol2_ops_scale_ops_scale_0118,vol2/ops_scale/ops_scale.qmd,What problem did Uber encounter before adopting Michelangelo that involved data scientists and engineering teams?
vol2_ops_scale_ops_scale,vol2_ops_scale_ops_scale_0118,vol2/ops_scale/ops_scale.qmd,Which three use cases are mentioned as being supported by the Michelangelo platform?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0104,vol1/ml_ops/ml_ops.qmd,What techniques do MLOps workflows incorporate to explore the design space efficiently?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0104,vol1/ml_ops/ml_ops.qmd,"According to the example, what event triggers a retraining job in the Jenkins pipeline?"
vol2_network_fabrics_network_fabrics,vol2_network_fabrics_network_fabrics_0063,vol2/network_fabrics/network_fabrics.qmd,What is the maximum allowed value for speedup_pct according to the guard condition?
vol2_network_fabrics_network_fabrics,vol2_network_fabrics_network_fabrics_0063,vol2/network_fabrics/network_fabrics.qmd,Which functions are imported from mlsysim.fmt for output formatting?
vol2_collective_communication_collective_communication,vol2_collective_communication_collective_communication_0039,vol2/collective_communication/collective_communication.qmd,For which message sizes is the practical impact of SHARP's latency reduction most pronounced?
vol2_collective_communication_collective_communication,vol2_collective_communication_collective_communication_0039,vol2/collective_communication/collective_communication.qmd,What improvements does @graham2020 report when SHARP Streaming-Aggregation is enabled on HDR/Quantum InfiniBand switches for PyTorch workloads?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0039,vol1/ml_systems/ml_systems.qmd,Which function is used to format the TPU v4 chip count in the passage?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0039,vol1/ml_systems/ml_systems.qmd,What unit is specified when formatting the power of the TPUv4_4096 pod?
vol2_conclusion_conclusion,vol2_conclusion_conclusion_0005,vol2/conclusion/conclusion.qmd,What mechanisms does the distribution layer provide for turning many machines into a useful training or serving system?
vol2_conclusion_conclusion,vol2_conclusion_conclusion_0005,vol2/conclusion/conclusion.qmd,What final constraint does the responsible-fleet layer add to a distributed ML system?
vol2_responsible_ai_responsible_ai,vol2_responsible_ai_responsible_ai_0046,vol2/responsible_ai/responsible_ai.qmd,What does the guard check compare in the passage?
vol2_responsible_ai_responsible_ai,vol2_responsible_ai_responsible_ai_0046,vol2/responsible_ai/responsible_ai.qmd,"According to the passage, which group's predicted positives must be more reliable?"
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0124,vol1/model_serving/model_serving.qmd,Which formatting function is used to convert the V100 price increase multiplier to a string?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0124,vol1/model_serving/model_serving.qmd,What precision is specified when formatting the T4 cost string as USD?
frontmatter_index,frontmatter_index_0002,frontmatter/index.qmd,What can you design after working through the volumes mentioned in the passage?
frontmatter_index,frontmatter_index_0002,frontmatter/index.qmd,Who are the three groups of people the passage says the resource is intended for?
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0104,vol1/hw_acceleration/hw_acceleration.qmd,What does each cycle demand in terms of data for the systolic array?
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0104,vol1/hw_acceleration/hw_acceleration.qmd,What becomes limiting when processing large transformer models on the TPU v4 despite its high bandwidth?
vol2_collective_communication_collective_communication,vol2_collective_communication_collective_communication_0065,vol2/collective_communication/collective_communication.qmd,How is the variable 'flat_time' calculated in the code?
vol2_collective_communication_collective_communication,vol2_collective_communication_collective_communication_0065,vol2/collective_communication/collective_communication.qmd,Which terms are added together to compute 'hier_total'?
vol1_responsible_engr_responsible_engr,vol1_responsible_engr_responsible_engr_0062,vol1/responsible_engr/responsible_engr.qmd,"According to the passage, what specific fairness metric and its allowed deviation are mentioned for the algorithm axis?"
vol1_responsible_engr_responsible_engr,vol1_responsible_engr_responsible_engr_0062,vol1/responsible_engr/responsible_engr.qmd,What are three types of constraints that bound the machine axis as described in the passage?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0122,vol1/model_serving/model_serving.qmd,What is the assumed hourly cost of the g4dn.xlarge (T4) instance in the passage?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0122,vol1/model_serving/model_serving.qmd,"According to the passage, how many items per second can the V100 (p3.2xlarge) process?"
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0070,vol1/hw_acceleration/hw_acceleration.qmd,What three passes through data are required for batch normalization according to the passage?
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0070,vol1/hw_acceleration/hw_acceleration.qmd,"According to the passage, why is the cost of a standalone ReLU operation dominated more by memory operations than arithmetic?"
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0239,vol1/ml_ops/ml_ops.qmd,What four potential problems can be identified when diagnosing a degrading model according to the passage?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0239,vol1/ml_ops/ml_ops.qmd,"What negative outcome does the passage describe for treating production ML as ""deploy and forget""?"
vol1_responsible_engr_responsible_engr,vol1_responsible_engr_responsible_engr_0032,vol1/responsible_engr/responsible_engr.qmd,What dimensions does the @Tbl-failure-modes framework use to categorize failures?
vol1_responsible_engr_responsible_engr,vol1_responsible_engr_responsible_engr_0032,vol1/responsible_engr/responsible_engr.qmd,Which types of failures trigger immediate alerts through existing infrastructure?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0047,vol1/data_selection/data_selection.qmd,What model and pacing strategy are used for the CIFAR-10 dataset?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0047,vol1/data_selection/data_selection.qmd,What is the epoch reduction value for the MentorNet (noisy) pacing strategy on ImageNet?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0169,vol1/data_engineering/data_engineering.qmd,Which stages are included in a fully assembled data pipeline that might suggest data engineering work is 'done'?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0169,vol1/data_engineering/data_engineering.qmd,What are some reasons why production systems need ongoing maintenance despite having a complete pipeline?
vol2_backmatter_appendix_assumptions,vol2_backmatter_appendix_assumptions_0009,vol2/backmatter/appendix_assumptions.qmd,"According to the passage, how does failure handling shift between the 256‑GPU and 8,192‑GPU tiers?"
vol2_backmatter_appendix_assumptions,vol2_backmatter_appendix_assumptions_0009,vol2/backmatter/appendix_assumptions.qmd,"What does the passage say about the difference in failure frequency between a 256‑GPU cluster and a 100,000‑GPU cluster?"
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0002,vol1/data_selection/data_selection.qmd,What three techniques are compared for reducing redundant pretraining data?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0002,vol1/data_selection/data_selection.qmd,Which inequality is applied to test whether selection overhead beats full-dataset training cost?
vol1_training_training,vol1_training_training_0034,vol1/training/training.qmd,What is the practical compromise achieved by mini-batch gradient descent compared to full-batch and stochastic methods?
vol1_training_training,vol1_training_training_0034,vol1/training/training.qmd,How does the batch size B influence computational efficiency and memory requirements in mini-batch processing?
vol1_responsible_engr_responsible_engr,vol1_responsible_engr_responsible_engr_0092,vol1/responsible_engr/responsible_engr.qmd,What is the primary fairness risk listed for the GPT-2 (Bandwidth Hog) archetype?
vol1_responsible_engr_responsible_engr,vol1_responsible_engr_responsible_engr_0092,vol1/responsible_engr/responsible_engr.qmd,Which key evaluation metric is suggested for assessing the DS-CNN (Tiny Constraint) archetype?
vol2_security_privacy_security_privacy,vol2_security_privacy_security_privacy_0026,vol2/security_privacy/security_privacy.qmd,What are the domain limits for the plot of 6.75*exp(-x^2/2) in the right graph?
vol2_security_privacy_security_privacy,vol2_security_privacy_security_privacy_0026,vol2/security_privacy/security_privacy.qmd,"Which color is used for the arrow that points to the label ""0101"" in the right graph?"
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0012,vol1/model_serving/model_serving.qmd,What approach did Facebook take toward inference as described in the passage?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0012,vol1/model_serving/model_serving.qmd,"According to the passage, how does serving differ from training at fleet scale?"
vol1_backmatter_glossary_glossary,vol1_backmatter_glossary_glossary_0082,vol1/backmatter/glossary/glossary.qmd,What is NVIDIA's NVLink primarily used for in intra-node communication?
vol1_backmatter_glossary_glossary,vol1_backmatter_glossary_glossary_0082,vol1/backmatter/glossary/glossary.qmd,Which type of database approach is optimized for complex analytical queries across large datasets?
vol2_data_storage_data_storage,vol2_data_storage_data_storage_0067,vol2/data_storage/data_storage.qmd,What does the storage service do when a fragment needed for a shard is on a failed disk?
vol2_data_storage_data_storage,vol2_data_storage_data_storage_0067,vol2/data_storage/data_storage.qmd,Why does object storage have higher tail latency compared to local NVMe according to the passage?
vol2_introduction_introduction,vol2_introduction_introduction_0072,vol2/introduction/introduction.qmd,"According to the passage, what is the approximate synchronization size per endpoint in gigabytes?"
vol2_introduction_introduction,vol2_introduction_introduction_0072,vol2/introduction/introduction.qmd,What is the approximate energy tax per endpoint in joules as stated in the passage?
vol1_frameworks_frameworks,vol1_frameworks_frameworks_0079,vol1/frameworks/frameworks.qmd,Which model achieves the highest number of examples per second when using TensorRT?
vol1_frameworks_frameworks,vol1_frameworks_frameworks_0079,vol1/frameworks/frameworks.qmd,What is the compile time range (in seconds) for the GPT-2 (124M) model?
vol2_README,vol2_README_0003,vol2/README.md,Which chapter covers how to monitor and operate ML infrastructure?
vol2_README,vol2_README_0003,vol2/README.md,"What is the core question for the ""Network Fabrics"" chapter?"
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0055,vol1/data_engineering/data_engineering.qmd,What is the cost range for a cloud GPU training hour?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0055,vol1/data_engineering/data_engineering.qmd,Which operation has a cost range of $15–50?
vol2_ops_scale_ops_scale,vol2_ops_scale_ops_scale_0043,vol2/ops_scale/ops_scale.qmd,What was the P99 latency before it increased to 125 ms?
vol2_ops_scale_ops_scale,vol2_ops_scale_ops_scale_0043,vol2/ops_scale/ops_scale.qmd,By how much did the daily cost rise after the model update?
vol1_nn_architectures_nn_architectures,vol1_nn_architectures_nn_architectures_0108,vol1/nn_architectures/nn_architectures.qmd,"According to the passage, what is the computational and memory cost complexity introduced by the Transformer's attention mechanism?"
vol1_nn_architectures_nn_architectures,vol1_nn_architectures_nn_architectures_0108,vol1/nn_architectures/nn_architectures.qmd,What was the reported context window size limit for GPT-3 due to the quadratic growth of attention?
vol3_README,vol3_README_0004,vol3/README.md,"According to the note on the title, why should the word ""Learning"" be kept in the name?"
vol3_README,vol3_README_0004,vol3/README.md,What condition does the passage give for the volume to earn durability?
vol2_sustainable_ai_sustainable_ai,vol2_sustainable_ai_sustainable_ai_0089,vol2/sustainable_ai/sustainable_ai.qmd,What is the per-query latency reduction achieved by edge inference compared to cloud inference?
vol2_sustainable_ai_sustainable_ai,vol2_sustainable_ai_sustainable_ai_0089,vol2/sustainable_ai/sustainable_ai.qmd,How much continuous power does Tesla's FSD computer draw while driving?
vol1_training_training,vol1_training_training_0056,vol1/training/training.qmd,What does the learning rate scheduling hook adjust during training?
vol1_training_training,vol1_training_training_0056,vol1/training/training.qmd,Does the learning rate scheduling hook add per-parameter state to the optimizer?
vol2_performance_engineering_performance_engineering,vol2_performance_engineering_performance_engineering_0051,vol2/performance_engineering/performance_engineering.qmd,Which technique reduces the bytes per memory transaction?
vol2_performance_engineering_performance_engineering,vol2_performance_engineering_performance_engineering_0051,vol2/performance_engineering/performance_engineering.qmd,What does FlashAttention remove according to the passage?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0051,vol1/ml_ops/ml_ops.qmd,What root cause do boundary erosion and correction cascades share according to the passage?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0051,vol1/ml_ops/ml_ops.qmd,How do machine learning dependencies differ from traditional software dependencies as described in the passage?
vol1_conclusion_conclusion,vol1_conclusion_conclusion_0012,vol1/conclusion/conclusion.qmd,"According to the passage, into which four areas do architecture choices cascade?"
vol1_conclusion_conclusion,vol1_conclusion_conclusion_0012,vol1/conclusion/conclusion.qmd,How many Lighthouse Models are introduced in the referenced section?
vol1_backmatter_glossary_glossary,vol1_backmatter_glossary_glossary_0102,vol1/backmatter/glossary/glossary.qmd,What are soft targets and what role do they play in knowledge distillation?
vol1_backmatter_glossary_glossary,vol1_backmatter_glossary_glossary_0102,vol1/backmatter/glossary/glossary.qmd,How is sparsity defined in the context of tensors according to the passage?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0100,vol1/ml_systems/ml_systems.qmd,What do sensor integration and on-device processing enable according to the passage?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0100,vol1/ml_systems/ml_systems.qmd,Why are always-on ML features described as incurring a 'battery tax'?
vol1_nn_architectures_nn_architectures,vol1_nn_architectures_nn_architectures_0077,vol1/nn_architectures/nn_architectures.qmd,What architectural constraint of CNNs reduces the hypothesis space they must search compared to fully connected networks?
vol1_nn_architectures_nn_architectures,vol1_nn_architectures_nn_architectures_0077,vol1/nn_architectures/nn_architectures.qmd,"According to the passage, what prior knowledge about visual data do CNNs encode by restricting connectivity to local neighborhoods and sharing parameters across spatial positions?"
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0063,vol1/data_engineering/data_engineering.qmd,Why can't the quality pillar be satisfied by scale alone according to the passage?
vol1_data_engineering_data_engineering,vol1_data_engineering_data_engineering_0063,vol1/data_engineering/data_engineering.qmd,What steps must teams take to address legal and ethical constraints when scraping user-generated content?
vol1_ml_workflow_ml_workflow,vol1_ml_workflow_ml_workflow_0002,vol1/ml_workflow/ml_workflow.qmd,"According to the passage, how many machine learning lifecycle stages are described?"
vol1_ml_workflow_ml_workflow,vol1_ml_workflow_ml_workflow_0002,vol1/ml_workflow/ml_workflow.qmd,What four criteria are listed for evaluating trade-offs across the ML lifecycle stages?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0037,vol1/data_selection/data_selection.qmd,What is the guarantee provided by the coreset method according to the passage?
vol1_data_selection_data_selection,vol1_data_selection_data_selection_0037,vol1/data_selection/data_selection.qmd,How does a coreset differ from random downsampling as described in the text?
vol2_backmatter_appendix_assumptions,vol2_backmatter_appendix_assumptions_0010,vol2/backmatter/appendix_assumptions.qmd,What does the network fabric determine for gradient synchronization and pipeline parallelism across node boundaries?
vol2_backmatter_appendix_assumptions,vol2_backmatter_appendix_assumptions_0010,vol2/backmatter/appendix_assumptions.qmd,Which interconnect tiers are listed in the network assumptions for distributed training and inference?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0123,vol1/model_serving/model_serving.qmd,What formula is used to calculate ca_cpu_images_per_hour_value?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0123,vol1/model_serving/model_serving.qmd,How is ca_v100_price_increase_value determined according to the passage?
vol2_data_storage_data_storage,vol2_data_storage_data_storage_0018,vol2/data_storage/data_storage.qmd,Why does the accelerator process data in batches?
vol2_data_storage_data_storage,vol2_data_storage_data_storage_0018,vol2/data_storage/data_storage.qmd,What sets the bandwidth requirement for all lower tiers?
vol1_training_training,vol1_training_training_0082,vol1/training/training.qmd,Why does doubling the hardware's peak TFLOP/s not improve performance for memory-bound operations such as LayerNorm or Softmax?
vol1_training_training,vol1_training_training_0082,vol1/training/training.qmd,How does mixed-precision training with FP16/BF16 increase the system's ability to utilize its peak computational capability?
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0129,vol1/hw_acceleration/hw_acceleration.qmd,"According to the passage, how long does real ResNet-50 inference take?"
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0129,vol1/hw_acceleration/hw_acceleration.qmd,What does the passage say about the energy cost of moving data from memory compared to arithmetic?
vol1_training_training,vol1_training_training_0126,vol1/training/training.qmd,What is the total preprocessing time in milliseconds as defined in the passage?
vol1_training_training,vol1_training_training_0126,vol1/training/training.qmd,How many prefetch buffer batches are calculated in the passage?
vol1_training_training,vol1_training_training_0004,vol1/training/training.qmd,What is the FLOPs formula for the Feed-Forward Network as described in the passage?
vol1_training_training,vol1_training_training_0004,vol1/training/training.qmd,How does the FLOPs count for the Attn × V operation compare to that for the QK operation?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0192,vol1/ml_ops/ml_ops.qmd,What does @Tbl-ml-ops-principle-mapping lay out for the two environments?
vol1_ml_ops_ml_ops,vol1_ml_ops_ml_ops_0192,vol1/ml_ops/ml_ops.qmd,"In the Oura-inspired design, what does polysomnography (PSG) refer to?"
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0033,vol1/model_serving/model_serving.qmd,Which type of serving system optimizes for throughput and uses dynamic batching?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0033,vol1/model_serving/model_serving.qmd,What constraints do TinyML systems operate under according to the passage?
vol1_conclusion_conclusion,vol1_conclusion_conclusion_0027,vol1/conclusion/conclusion.qmd,What is the goal of the EDGE-VS-H100 reference ratios section described in the passage?
vol1_conclusion_conclusion,vol1_conclusion_conclusion_0027,vol1/conclusion/conclusion.qmd,"According to the passage, how are the H100 reference ratios calculated?"
vol2_sustainable_ai_sustainable_ai,vol2_sustainable_ai_sustainable_ai_0013,vol2/sustainable_ai/sustainable_ai.qmd,What is the average annual electricity consumption of a U.S. household according to the passage?
vol2_sustainable_ai_sustainable_ai,vol2_sustainable_ai_sustainable_ai_0013,vol2/sustainable_ai/sustainable_ai.qmd,How many households' annual electricity consumption does a single GPT-3 verified training run equal?
vol1_introduction_introduction,vol1_introduction_introduction_0026,vol1/introduction/introduction.qmd,What were the two fundamental scaling barriers encountered by the pre‑machine‑learning paradigms described in the passage?
vol1_introduction_introduction,vol1_introduction_introduction_0026,vol1/introduction/introduction.qmd,"According to the passage, why did expert systems hit the knowledge bottleneck?"
vol2_introduction_introduction,vol2_introduction_introduction_0055,vol2/introduction/introduction.qmd,How did OpenAI decide on the model size and token budget when scaling GPT-3?
vol2_introduction_introduction,vol2_introduction_introduction_0055,vol2/introduction/introduction.qmd,"Within well-defined operational regimes, what factor predominantly influences model performance according to the passage?"
vol1_model_compression_model_compression,vol1_model_compression_model_compression_0008,vol1/model_compression/model_compression.qmd,Which models are identified as the Lighthouse Models for vision workloads in the passage?
vol1_model_compression_model_compression,vol1_model_compression_model_compression_0008,vol1/model_compression/model_compression.qmd,What type of neural network is used as the keyword spotter for TinyML deployment according to the passage?
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0135,vol1/hw_acceleration/hw_acceleration.qmd,"What physical limitation, noted since 1945, is identified as the underlying cause of the energy wall in computing?"
vol1_hw_acceleration_hw_acceleration,vol1_hw_acceleration_hw_acceleration_0135,vol1/hw_acceleration/hw_acceleration.qmd,"According to the passage, how many times more energy does accessing a value from external DRAM require compared to performing an 8-bit integer operation on that value?"
vol2_data_storage_data_storage,vol2_data_storage_data_storage_0090,vol2/data_storage/data_storage.qmd,Which data format has the lowest per-sample overhead according to the table?
vol2_data_storage_data_storage,vol2_data_storage_data_storage_0090,vol2/data_storage/data_storage.qmd,Which data format offers excellent streaming performance but does not support random access?
vol2_backmatter_appendix_assumptions,vol2_backmatter_appendix_assumptions_0005,vol2/backmatter/appendix_assumptions.qmd,What is the formula used to calculate the total facility power in the passage?
vol2_backmatter_appendix_assumptions,vol2_backmatter_appendix_assumptions_0005,vol2/backmatter/appendix_assumptions.qmd,"According to the passage, what can dominate the emissions difference for the same hardware, model, and training duration?"
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0057,vol1/model_serving/model_serving.qmd,What is the approximate total postprocessing time mentioned in the example?
vol1_model_serving_model_serving,vol1_model_serving_model_serving_0057,vol1/model_serving/model_serving.qmd,"According to the passage, what must production systems' outputs conform to?"
vol2_ops_scale_ops_scale,vol2_ops_scale_ops_scale_0083,vol2/ops_scale/ops_scale.qmd,"According to the passage, how much accuracy gain is achieved when moving from a small to a medium model, and what is the associated increase in training cost?"
vol2_ops_scale_ops_scale,vol2_ops_scale_ops_scale_0083,vol2/ops_scale/ops_scale.qmd,What is the accuracy improvement and training cost increase when moving from a medium to a large model as described in the passage?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0033,vol1/ml_systems/ml_systems.qmd,"Who coined the term ""memory wall"" and in what year?"
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0033,vol1/ml_systems/ml_systems.qmd,"In the iron law mentioned in the passage, where does memory bandwidth appear in the data term formula?"
vol1_nn_computation_nn_computation,vol1_nn_computation_nn_computation_0143,vol1/nn_computation/nn_computation.qmd,What batch size is specified for calculating activation storage in the 784→512→256→10 network variant?
vol1_nn_computation_nn_computation,vol1_nn_computation_nn_computation_0143,vol1/nn_computation/nn_computation.qmd,"According to the passage, how are the total trainable parameters for the 784→512→256→10 variant calculated?"
vol1_benchmarking_benchmarking,vol1_benchmarking_benchmarking_0062,vol1/benchmarking/benchmarking.qmd,"What potential issue arises when a metric captures accuracy but ignores latency, according to the passage?"
vol1_benchmarking_benchmarking,vol1_benchmarking_benchmarking_0062,vol1/benchmarking/benchmarking.qmd,How does the passage describe the difference between the mathematical definition of a metric and its use in machine learning?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0110,vol1/ml_systems/ml_systems.qmd,What label appears at the 90-degree tick on the polar axis?
vol1_ml_systems_ml_systems,vol1_ml_systems_ml_systems_0110,vol1/ml_systems/ml_systems.qmd,Which machine learning category has a coordinate value of 10 at the 270-degree angle?
vol1_backmatter_appendix_machine,vol1_backmatter_appendix_machine_0034,vol1/backmatter/appendix_machine.qmd,What unit and precision are specified when formatting the crossover_data variable in the code?
